"CustomerID","PersonID","CustomerName","PhoneNumberCustomer","EmailAddressCustomer","TerritoryCustomer"
11894,7273,Ann  Gonzalez,"1 (11) 500 555-0118",ann23@adventure-works.com,Australia
11898,7653,Angela T Henderson,"1 (11) 500 555-0118",angela7@adventure-works.com,Australia
11914,7205,Meagan M Rana,"1 (11) 500 555-0118",meagan11@adventure-works.com,Australia
11967,6133,Latasha  Munoz,"1 (11) 500 555-0118",latasha7@adventure-works.com,Australia
11998,4653,Donna  Sharma,"1 (11) 500 555-0118",donna9@adventure-works.com,Australia
12245,16717,Francisco L Gonzalez,"1 (11) 500 555-0118",francisco20@adventure-works.com,Australia
12989,4520,Carly C Goel,"1 (11) 500 555-0118",carly17@adventure-works.com,Australia
13022,12821,Rafael T Ma,"1 (11) 500 555-0118",rafael17@adventure-works.com,Australia
13025,6588,Reginald J Serrano,"1 (11) 500 555-0118",reginald2@adventure-works.com,Australia
13121,6130,Latasha E Jimenez,"1 (11) 500 555-0118",latasha5@adventure-works.com,Australia
13524,6202,Cheryl  Blanco,"1 (11) 500 555-0118",cheryl18@adventure-works.com,Australia
14087,2885,Harold K Garcia,"1 (11) 500 555-0118",harold12@adventure-works.com,Australia
14130,9916,Rebekah  Serrano,"1 (11) 500 555-0118",rebekah36@adventure-works.com,Australia
14261,10603,Meredith S Subram,"1 (11) 500 555-0118",meredith12@adventure-works.com,Australia
14668,11036,Joe  Martin,"1 (11) 500 555-0118",joe24@adventure-works.com,Australia
15026,14262,Felicia J Diaz,"1 (11) 500 555-0118",felicia3@adventure-works.com,Australia
15185,15598,Jonathan D Evans,"1 (11) 500 555-0118",jonathan30@adventure-works.com,Australia
15224,11706,Pedro S Gutierrez,"1 (11) 500 555-0118",pedro31@adventure-works.com,Australia
15722,7655,Angela  Jenkins,"1 (11) 500 555-0118",angela9@adventure-works.com,Australia
15733,18536,Leslie  Ramos,"1 (11) 500 555-0118",leslie18@adventure-works.com,Australia
15735,14122,Lori A Blanco,"1 (11) 500 555-0118",lori16@adventure-works.com,Australia
15785,13118,Edwin  Zhang,"1 (11) 500 555-0118",edwin0@adventure-works.com,Australia
15833,10370,Tabitha  Kovar,"1 (11) 500 555-0118",tabitha3@adventure-works.com,Australia
16351,4916,Martha C Xu,"1 (11) 500 555-0118",martha12@adventure-works.com,Australia
16487,19280,Brianna K Griffin,"1 (11) 500 555-0118",brianna66@adventure-works.com,Australia
16527,19328,Cory O Arun,"1 (11) 500 555-0118",cory5@adventure-works.com,Australia
16626,14951,Nathaniel E Morgan,"1 (11) 500 555-0118",nathaniel14@adventure-works.com,Australia
16638,17904,Dennis M Ye,"1 (11) 500 555-0118",dennis11@adventure-works.com,Australia
16693,6491,Ethan G Coleman,"1 (11) 500 555-0118",ethan2@adventure-works.com,Australia
17229,3249,Maria  Watson,"1 (11) 500 555-0118",maria19@adventure-works.com,Australia
17302,3262,Ruth D Vance,"1 (11) 500 555-0118",ruth8@adventure-works.com,Australia
17350,9695,Ebony R Dominguez,"1 (11) 500 555-0118",ebony34@adventure-works.com,Australia
18215,12421,Ashley E Taylor,"1 (11) 500 555-0118",ashley9@adventure-works.com,Australia
18250,4016,Jeremiah M Hall,"1 (11) 500 555-0118",jeremiah12@adventure-works.com,Australia
18451,5327,Dale  Pal,"1 (11) 500 555-0118",dale9@adventure-works.com,Australia
18461,16215,Tina J Martinez,"1 (11) 500 555-0118",tina19@adventure-works.com,Australia
18692,3993,Preston G Mehta,"1 (11) 500 555-0118",preston13@adventure-works.com,Australia
18706,5655,Darryl  Zheng,"1 (11) 500 555-0118",darryl19@adventure-works.com,Australia
18722,14486,Jonathon  Navarro,"1 (11) 500 555-0118",jonathon7@adventure-works.com,Australia
18725,16229,Denise M Kapoor,"1 (11) 500 555-0118",denise4@adventure-works.com,Australia
18742,9488,Don  Guo,"1 (11) 500 555-0118",don6@adventure-works.com,Australia
18743,5698,Glenn  Xu,"1 (11) 500 555-0118",glenn13@adventure-works.com,Australia
18796,6884,Marvin R Ruiz,"1 (11) 500 555-0118",marvin2@adventure-works.com,Australia
18907,8799,Priscilla  Nara,"1 (11) 500 555-0118",priscilla15@adventure-works.com,Australia
19562,17472,Leah R Guo,"1 (11) 500 555-0118",leah14@adventure-works.com,Australia
19605,9393,Brad H Shan,"1 (11) 500 555-0118",brad10@adventure-works.com,Australia
19608,2872,Harold  Prasad,"1 (11) 500 555-0118",harold6@adventure-works.com,Australia
19620,2750,Andy  Vazquez,"1 (11) 500 555-0118",andy19@adventure-works.com,Australia
19797,17740,Clarence  Liu,"1 (11) 500 555-0118",clarence40@adventure-works.com,Australia
19798,4800,Bianca  Ma,"1 (11) 500 555-0118",bianca12@adventure-works.com,Australia
19966,18123,Abby J Sanchez,"1 (11) 500 555-0118",abby17@adventure-works.com,Australia
20818,19763,Rachel  Powell,"1 (11) 500 555-0118",rachel56@adventure-works.com,Australia
21255,4913,Martha R Lu,"1 (11) 500 555-0118",martha11@adventure-works.com,Australia
21366,2871,Kelvin C Andersen,"1 (11) 500 555-0118",kelvin9@adventure-works.com,Australia
21888,15718,Evan L Edwards,"1 (11) 500 555-0118",evan25@adventure-works.com,Australia
21889,14579,Sheila L Navarro,"1 (11) 500 555-0118",sheila10@adventure-works.com,Australia
22156,2466,Jamie L Zheng,"1 (11) 500 555-0118",jamie23@adventure-works.com,Australia
22179,17990,Abby C Mehta,"1 (11) 500 555-0118",abby11@adventure-works.com,Australia
