"SalesOrderID","OrderDate","DueDate","ShipDate","Status","OnlineOrderFlag","SalesOrderNumber","CustomerID","SalesPersonID","SalesName","StoreID","StoreName","ShipToAddress","CreditCardID","SubTotal","TransportFee","TotalDue"
45128,2011-12-10 00:00:00.000,2011-12-22 00:00:00.000,2011-12-17 00:00:00.000,5,1,SO45128,18726,,  ,,,"1020 Carletto Drive, Matraville",9810,"3578.2700","89.4568","3953.9884"
43928,2011-07-03 00:00:00.000,2011-07-15 00:00:00.000,2011-07-10 00:00:00.000,5,1,SO43928,16740,,  ,,,"2096 Blackwood Drive, Melton",14446,"3578.2700","89.4568","3953.9884"
44941,2011-11-18 00:00:00.000,2011-11-30 00:00:00.000,2011-11-25 00:00:00.000,5,1,SO44941,18697,,  ,,,"2800 San Ramon Road, Lane Cove",16983,"3578.2700","89.4568","3953.9884"
44671,2011-10-16 00:00:00.000,2011-10-28 00:00:00.000,2011-10-23 00:00:00.000,5,1,SO44671,18268,,  ,,,"2082 Satin Court, South Melbourne",18941,"3578.2700","89.4568","3953.9884"
44025,2011-07-22 00:00:00.000,2011-08-03 00:00:00.000,2011-07-29 00:00:00.000,5,1,SO44025,16708,,  ,,,"3189 La Salle St., Lavender Bay",6608,"3578.2700","89.4568","3953.9884"
46267,2012-04-20 00:00:00.000,2012-05-02 00:00:00.000,2012-04-27 00:00:00.000,5,1,SO46267,20448,,  ,,,"3944 Concord Blvd., Springwood",9131,"3578.2700","89.4568","3953.9884"
45628,2012-02-04 00:00:00.000,2012-02-16 00:00:00.000,2012-02-11 00:00:00.000,5,1,SO45628,19795,,  ,,,"1426 Waterfall Way, Warrnambool",16031,"3578.2700","89.4568","3953.9884"
46275,2012-04-21 00:00:00.000,2012-05-03 00:00:00.000,2012-04-28 00:00:00.000,5,1,SO46275,20450,,  ,,,"2897 Stonehedge Dr, Lane Cove",10218,"3578.2700","89.4568","3953.9884"
43938,2011-07-05 00:00:00.000,2011-07-17 00:00:00.000,2011-07-12 00:00:00.000,5,1,SO43938,16686,,  ,,,"290 Reed Way, Malabar",9400,"3578.2700","89.4568","3953.9884"
44610,2011-10-07 00:00:00.000,2011-10-19 00:00:00.000,2011-10-14 00:00:00.000,5,1,SO44610,18241,,  ,,,"2096 Estudillo Street, Springwood",19164,"3578.2700","89.4568","3953.9884"
43760,2011-06-15 00:00:00.000,2011-06-27 00:00:00.000,2011-06-22 00:00:00.000,5,1,SO43760,16352,,  ,,,"3549 Peachwillow St., Goulburn",7485,"3578.2700","89.4568","3953.9884"
45464,2012-01-20 00:00:00.000,2012-02-01 00:00:00.000,2012-01-27 00:00:00.000,5,1,SO45464,19586,,  ,,,"3945 Cedar St., Rockhampton",251,"3578.2700","89.4568","3953.9884"
45506,2012-01-26 00:00:00.000,2012-02-07 00:00:00.000,2012-02-02 00:00:00.000,5,1,SO45506,19615,,  ,,,"3925 North 39th Street, Goulburn",16941,"3578.2700","89.4568","3953.9884"
45770,2012-02-26 00:00:00.000,2012-03-09 00:00:00.000,2012-03-04 00:00:00.000,5,1,SO45770,19956,,  ,,,"3962 Cambelback Place, Warrnambool",16650,"3578.2700","89.4568","3953.9884"
44626,2011-10-10 00:00:00.000,2011-10-22 00:00:00.000,2011-10-17 00:00:00.000,5,1,SO44626,18272,,  ,,,"4298 Chestnut Ave., Lavender Bay",5005,"3578.2700","89.4568","3953.9884"
45962,2012-03-22 00:00:00.000,2012-04-03 00:00:00.000,2012-03-29 00:00:00.000,5,1,SO45962,20227,,  ,,,"5099 Park Lane Circle, Silverwater",11024,"3578.2700","89.4568","3953.9884"
45905,2012-03-14 00:00:00.000,2012-03-26 00:00:00.000,2012-03-21 00:00:00.000,5,1,SO45905,20152,,  ,,,"5931 San Carlos, Warrnambool",2598,"3578.2700","89.4568","3953.9884"
43797,2011-06-22 00:00:00.000,2011-07-04 00:00:00.000,2011-06-29 00:00:00.000,5,1,SO43797,16345,,  ,,,"1725 La Salle Ave., Wollongong",3803,"3578.2700","89.4568","3953.9884"
45350,2012-01-01 00:00:00.000,2012-01-13 00:00:00.000,2012-01-08 00:00:00.000,5,1,SO45350,19613,,  ,,,"2081 Elkwood Drive, Rockhampton",7933,"3578.2700","89.4568","3953.9884"
